
2024/11/05 (19:08:26) | ===> btop++ v.1.3.2
2024/11/05 (19:08:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/05 (19:12:17) | ===> btop++ v.1.3.2
2024/11/05 (19:12:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/10 (17:21:22) | ===> btop++ v.1.3.2
2024/11/10 (17:21:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/12 (16:51:42) | ===> btop++ v.1.3.2
2024/11/12 (16:51:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/22 (20:26:27) | ===> btop++ v.1.3.2
2024/11/22 (20:26:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (14:32:02) | ===> btop++ v.1.3.2
2024/11/25 (14:32:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/12 (21:18:54) | ===> btop++ v.1.3.2
2024/12/12 (21:18:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/12 (22:21:57) | ===> btop++ v.1.3.2
2024/12/12 (22:21:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/13 (17:24:48) | ===> btop++ v.1.3.2
2024/12/13 (17:24:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/26 (15:02:06) | ===> btop++ v.1.4.0
2024/12/26 (15:02:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (21:21:28) | ===> btop++ v.1.4.0
2024/12/30 (21:21:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/31 (17:54:15) | ===> btop++ v.1.4.0
2024/12/31 (17:54:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/31 (18:26:57) | ===> btop++ v.1.4.0
2024/12/31 (18:26:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/12 (21:57:09) | ===> btop++ v.1.4.0
2025/01/12 (21:57:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/12 (22:07:14) | ===> btop++ v.1.4.0
2025/01/12 (22:07:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/14 (23:36:46) | ===> btop++ v.1.4.0
2025/01/14 (23:36:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/14 (23:43:46) | ===> btop++ v.1.4.0
2025/01/14 (23:43:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/15 (21:25:01) | ===> btop++ v.1.4.0
